"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Dublin - apartments","%","-4"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","National excluding Dublin - all residential properties","%","-2.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","National excluding Dublin - houses","%","-2.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","National excluding Dublin - apartments","%","-2.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M02","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","National - all residential properties","%","-3.8"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","National - houses","%","-3.7"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","National - apartments","%","-3.6"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Dublin - all residential properties","%","-6.8"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Dublin - houses","%","-7.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Dublin - apartments","%","-4.2"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Dublin City - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Dun Laoghaire-Rathdown - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Fingal - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","South Dublin - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","National excluding Dublin - all residential properties","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","National excluding Dublin - houses","%","-1.9"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","National excluding Dublin - apartments","%","-4.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Border - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Midland - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Mid-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","Mid-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","South-East - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M03","South-West - houses","%",""
"Percentage Change over 3 months for Residential Property Price Index","2010M04","National - all residential properties","%","-3.3"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","National - houses","%","-3.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","National - apartments","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Dublin - all residential properties","%","-4.7"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Dublin - houses","%","-5.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Dublin - apartments","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Dublin City - houses","%","-7.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Dun Laoghaire-Rathdown - houses","%","-6.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Fingal - houses","%","-5.7"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","South Dublin - houses","%","-4.1"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","National excluding Dublin - all residential properties","%","-2.6"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","National excluding Dublin - houses","%","-2.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","National excluding Dublin - apartments","%","-3.1"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Border - houses","%","-4.6"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Midland - houses","%","-3.6"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","West - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Mid-East - houses","%","-2.7"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","Mid-West - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","South-East - houses","%","-2.3"
"Percentage Change over 3 months for Residential Property Price Index","2010M04","South-West - houses","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2010M05","National - all residential properties","%","-3.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M05","National - houses","%","-3.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M05","National - apartments","%","-2.9"
"Percentage Change over 3 months for Residential Property Price Index","2010M05","Dublin - all residential properties","%","-3.4"
"Percentage Change over 3 months for Residential Property Price Index","2010M05","Dublin - houses","%","-3.5"
"Percentage Change over 3 months for Residential Property Price Index","2010M05","Dublin - apartments","%","-3"
